hour,walkin_demand,walkin_demand_std,driveThru_demand,driveThru_demand_std,total_demand,total_demand_std,happiness_rate,happiness_rate_std,avg_wait_walkin,avg_wait_walkin_std,avg_wait_driveThru,avg_wait_driveThru_std,current_price,staff_count,revenue,revenue_std,staff_cost,promotion_cost,profit,profit_std,strategy,repetitions
12,15.9,3.867384990748486,27.766666666666666,5.14900206080967,43.666666666666664,6.769211344183474,0.9926900584795322,0.027609427520566342,0.21196388740403907,0.3550344931060799,0.1724113341212,0.3099189727241625,10.0,6.0,436.6666666666667,67.69211344183472,90.0,0.0,346.6666666666667,67.69211344183472,baseline,30
13,16.5,4.807979478602905,25.8,5.192301994298868,42.3,7.285373474755201,0.9922992247330598,0.021355788662139358,0.4333395953292588,1.182400505578595,0.3058324671577252,0.6909215250853936,10.0,6.0,423.0,72.85373474755201,90.0,0.0,333.0,72.85373474755201,baseline,30
14,16.766666666666666,4.047083998249714,26.0,5.170428737864331,42.766666666666666,7.87690012349754,0.9908825430490658,0.022464560401482675,0.44082570947878863,0.9134116662899037,0.4193734998703535,0.6467455482830712,10.0,6.0,427.6666666666667,78.7690012349754,90.0,0.0,337.6666666666667,78.7690012349754,baseline,30
15,18.4,4.424176006143215,27.0,4.661902329879224,45.4,7.570116687784057,0.9932713567458695,0.02297832688367894,0.3646440227870068,0.5539771078598007,0.3290931044787664,0.4450445609335103,10.0,6.0,454.0,75.70116687784058,90.0,0.0,364.0,75.70116687784058,baseline,30
16,16.833333333333332,5.360866430800985,26.066666666666666,7.159764117778059,42.9,9.56155496419559,0.9900373962416166,0.020041980981448656,0.3449497518517617,0.4840578502953813,0.300493668052673,0.38234083210590813,10.0,6.0,429.0,95.61554964195591,90.0,0.0,339.0,95.61554964195591,baseline,30
17,17.7,4.11622804680855,26.6,6.473535870501272,44.3,8.869986847040229,0.9905403709844833,0.022125384906070182,0.6099972444182549,0.8898157858194584,0.6555544079324834,1.00121002743768,10.0,6.0,443.0,88.6998684704023,90.0,0.0,353.0,88.6998684704023,baseline,30
18,16.633333333333333,5.029800084385948,27.3,5.067214882622077,43.93333333333333,7.307226255943877,0.9963565465010885,0.010045204820938668,0.4522597142078599,0.7546285047306989,0.4319277287272315,0.6462263847324685,10.0,6.0,439.3333333333333,73.07226255943874,90.0,0.0,349.3333333333333,73.07226255943874,baseline,30
19,17.833333333333332,4.420281539550268,25.566666666666666,4.5290420866031065,43.4,6.626210581219606,0.9929652133165333,0.01621785543994541,0.1535474835233847,0.17060097107103583,0.2297306325671437,0.36555696374005886,10.0,6.0,434.0,66.26210581219605,90.0,0.0,344.0,66.26210581219605,baseline,30
20,16.866666666666667,4.161196409153929,25.733333333333334,5.824850975680742,42.6,6.151422599691879,0.9880404889228419,0.0430144293206343,0.5033795138624426,0.6550320290673883,0.49062285421285406,0.6439564370666361,10.0,6.0,426.0,61.514225996918796,90.0,0.0,336.0,61.514225996918796,baseline,30
21,16.633333333333333,3.945320716438089,26.533333333333335,6.048323918427503,43.166666666666664,8.058466906855728,0.9992753623188406,0.003902293338503261,0.19778126086415548,0.23174849119481386,0.21954323391569075,0.23818770382663423,10.0,6.0,431.6666666666667,80.58466906855726,90.0,0.0,341.6666666666667,80.58466906855726,baseline,30
